YEAR,MONTH,QUARTER,MKT_CARRIER,MKT_CARRIER_AIRLINE_ID,MKT_CARRIER_NAME,MKT_UNIQUE_CARRIER,MKT_UNIQUE_CARRIER_NAME,OP_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER_NAME,OP_UNIQUE_CARRIER,OP_UNIQUE_CARRIER_NAME,PAX_ALT_TRANS,PAX_NO_ALT_TRANS,PAX_NO_COMP_1,PAX_NO_COMP_2,PAX_NO_COMP_3,TOT_DEN_BOARDING,PAX_COMP_1,PAX_COMP_2,PAX_UPGRADE,PAX_DOWNGRADE,TOT_BOARDING,COMP_PAID_1,COMP_PAID_2,COMP_PAID_3,CODE_SHARE,OP_CARRIER_SOURCE
2014,12,4,,,,,,EV,20366,ExpressJet Airlines Inc.,EV,ExpressJet Airlines LLC,66,1056,55,42,28,1247,1165,11856,4414,1547,6968965,26154,827722,1300,false,EV
2015,3,1,,,,,,EV,20366,ExpressJet Airlines Inc.,EV,ExpressJet Airlines LLC,62,1056,55,121,18,1312,1237,12437,3498,1566,6083566,29789,851724,0,false,EV
2015,6,2,,,,,,EV,20366,ExpressJet Airlines Inc.,EV,ExpressJet Airlines LLC,73,1042,35,172,16,1338,1280,12001,3842,2200,6567149,31941,878936,0,false,EV
2015,9,3,,,,,,EV,20366,ExpressJet Airlines Inc.,EV,ExpressJet Airlines LLC,51,758,20,128,5,962,909,9527,4535,2170,6328398,26037,663404,500,false,EV
2015,12,4,,,,,,EV,20366,ExpressJet Airlines Inc.,EV,ExpressJet Airlines LLC,38,826,19,107,6,996,970,8968,3426,1966,5757488,20851,683972,0,false,EV
2016,3,1,,,,,,EV,20366,ExpressJet Airlines Inc.,EV,ExpressJet Airlines LLC,32,562,18,138,7,757,710,7708,3293,1736,5175359,12765,489205,500,false,EV
2016,6,2,,,,,,EV,20366,ExpressJet Airlines Inc.,EV,ExpressJet Airlines LLC,38,561,17,222,9,847,823,8087,3546,1730,5498667,18690,473685,0,false,EV
2016,9,3,,,,,,EV,20366,ExpressJet Airlines Inc.,EV,ExpressJet Airlines LLC,46,710,19,154,8,937,900,9180,4267,1885,5445840,16959,622663,0,,
2016,12,4,,,,,,EV,20366,ExpressJet Airlines Inc.,EV,ExpressJet Airlines LLC,34,554,12,36,5,641,622,8615,3313,1757,5019172,12958,454151,1350,false,EV
2017,3,1,,,,,,EV,20366,ExpressJet Airlines Inc.,EV,ExpressJet Airlines LLC,27,445,7,24,4,507,481,7354,2538,1323,4137528,11622,381182,1000,false,EV
2017,6,2,,,,,,EV,20366,ExpressJet Airlines Inc.,EV,ExpressJet Airlines LLC,8,230,3,13,2,256,252,4991,2722,2148,4061138,2427,207042,0,false,EV
2017,9,3,,,,,,EV,20366,ExpressJet Airlines Inc.,EV,ExpressJet Airlines LLC,0,19,1,0,2,22,19,3902,3409,1713,3540146,0,18055,0,false,EV
2017,12,4,,,,,,EV,20366,ExpressJet Airlines Inc.,EV,ExpressJet Airlines LLC,0,1,1,4,1,7,6,3213,2514,1055,2977522,0,6008,0,false,EV
